City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Leningradskiy,RU,2022-04-05 03:59:45,69.3833,178.4167,-3.03,90,41,5.06
91,Vestmannaeyjar,IS,2022-04-05 03:59:45,63.4427,-20.2734,34.7,77,100,19.84
92,Isangel,VU,2022-04-05 03:55:24,-19.55,169.2667,87.91,74,75,3.44
93,Cidreira,BR,2022-04-05 03:59:45,-30.1811,-50.2056,68.29,87,71,6.98
94,Bouna,CI,2022-04-05 03:59:46,9.2667,-3.0,77.72,69,68,8.93
95,Padang,ID,2022-04-05 03:59:46,-0.9492,100.3543,86.05,60,33,5.95
96,Mossamedes,AO,2022-04-05 03:56:57,-15.1961,12.1522,67.46,83,39,5.82
97,Kabalo,CD,2022-04-05 03:59:47,-6.05,26.9167,69.26,98,96,1.5
98,Pemangkat,ID,2022-04-05 03:59:47,1.1667,108.9667,85.59,65,70,4.79
99,Carnarvon,AU,2022-04-05 03:55:12,-24.8667,113.6333,84.27,58,0,10.36
100,Biu,NG,2022-04-05 03:59:47,10.6129,12.1946,82.29,11,90,1.41
101,Sur,OM,2022-04-05 03:59:48,22.5667,59.5289,87.22,32,0,6.58
102,Diego de Almagro,CL,2022-04-05 03:59:48,-26.3667,-70.05,64.22,26,0,1.83
103,Kabo,CF,2022-04-05 03:59:48,7.6994,18.629,74.71,69,55,4.63
104,San Andrés,CO,2022-04-05 03:59:14,12.5847,-81.7006,80.62,78,75,9.22
105,Hong Kong,HK,2022-04-05 03:57:41,22.2855,114.1577,78.94,57,6,8.01
106,Fort Nelson,CA,2022-04-05 03:59:49,58.8053,-122.7002,33.39,60,20,8.05
107,Sovetskaya,RU,2022-04-05 03:59:49,44.7769,41.1722,42.6,81,100,2.37
108,Torres,BR,2022-04-05 03:59:50,-29.3353,-49.7269,70.83,91,98,7.85
109,Wamba,NG,2022-04-05 03:59:50,8.9333,8.6,75.06,61,82,1.52
110,Norman Wells,CA,2022-04-05 03:59:50,65.282,-126.8329,1.44,55,75,10.36
111,Auki,SB,2022-04-05 03:59:51,-8.7676,160.7034,80.13,87,100,8.16
112,Inuvik,CA,2022-04-05 03:59:51,68.3499,-133.7218,-12.14,70,100,4.61
113,Roald,NO,2022-04-05 03:59:52,62.5833,6.1333,33.75,93,20,4.61
114,Toora-Khem,RU,2022-04-05 03:59:52,52.4675,96.11,45.75,77,99,3.85
115,Serra,BR,2022-04-05 03:59:52,-20.1286,-40.3078,76.46,94,20,2.3
116,Qaqortoq,GL,2022-04-05 03:59:53,60.7167,-46.0333,32.36,77,100,4.45
117,Vyartsilya,RU,2022-04-05 03:59:53,62.1764,30.693,31.05,97,100,12.64
118,Bitkine,TD,2022-04-05 03:59:53,11.9801,18.2138,84.4,36,75,1.21
119,Camacha,PT,2022-04-05 03:59:54,33.0833,-16.3333,51.22,66,40,19.57
120,Tsimmerbude,RU,2022-04-05 03:59:54,54.675,20.1347,41.05,97,100,24.02
121,Yerofey Pavlovich,RU,2022-04-05 03:59:54,53.9667,121.9667,23.65,43,100,13.38
122,Ginir,ET,2022-04-05 03:59:55,7.1333,40.7,62.92,54,59,2.39
123,Brigantine,US,2022-04-05 03:59:55,39.4101,-74.3646,46.0,83,100,6.4
124,George Town,MY,2022-04-05 03:59:31,5.4112,100.3354,84.13,78,40,2.3
125,Tuatapere,NZ,2022-04-05 03:59:55,-46.1333,167.6833,64.53,75,100,3.29
126,Cape Town,ZA,2022-04-05 03:59:56,-33.9258,18.4232,62.89,86,75,13.8
127,Cervia,IT,2022-04-05 03:59:56,44.2657,12.3427,44.69,89,1,4.41
128,Comodoro Rivadavia,AR,2022-04-05 03:59:56,-45.8667,-67.5,62.46,42,0,26.46
129,Yumen,CN,2022-04-05 03:59:57,40.2833,97.2,63.1,11,0,7.07
130,Fortuna,US,2022-04-05 03:59:57,40.5982,-124.1573,50.94,93,100,9.22
