City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
650,Dongkan,CN,80.6,few clouds,33.9997,119.8308,Triumphal Resort
657,Yulara,AU,84.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
661,Miragoane,HT,77.5,scattered clouds,18.4423,-73.0876,Wj hotel
662,Lakatoro,VU,84.94,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
663,Sri Aman,MY,86.09,few clouds,1.2376,111.4621,Seri Simanggang Hotel
666,Muswellbrook,AU,76.33,broken clouds,-32.2667,150.9,Wayfarer Motel
667,Nisia Floresta,BR,79.18,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
668,Moree,AU,82.42,broken clouds,-29.4667,149.85,Molika Springs Motel
670,Laguna,US,75.34,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
674,Dwarka,IN,84.42,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
683,Yinchuan,CN,79.36,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
688,Gladstone,AU,75.13,broken clouds,-23.85,151.25,Highpoint International Hotel
