City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Santa Marta,CO,11.2408,-74.199,84.25,72,40,5.99,scattered clouds
121,Kavieng,PG,-2.5744,150.7967,80.71,82,99,12.66,light rain
122,Broome,US,42.2506,-75.833,44.71,77,100,6.91,overcast clouds
123,Lima,PE,-12.0432,-77.0282,64.65,88,40,3.44,scattered clouds
124,Pevek,RU,69.7008,170.3133,-6.9,84,100,7.85,overcast clouds
125,Upernavik,GL,72.7868,-56.1549,7.63,96,100,6.11,overcast clouds
126,Peniche,PT,39.3558,-9.3811,59.07,97,100,12.55,overcast clouds
127,Isangel,VU,-19.55,169.2667,87.91,79,20,6.91,few clouds
128,Aklavik,CA,68.2191,-135.0107,6.19,84,98,23.51,overcast clouds
129,Amboasary,MG,-25.0333,46.3833,74.66,85,8,6.96,clear sky
130,Severo-Kurilsk,RU,50.6789,156.125,33.17,76,91,10.98,overcast clouds
131,Sola,VU,-13.8833,167.55,86.67,79,40,2.3,scattered clouds
132,Dosso,NE,13.049,3.1937,86.49,32,4,9.64,clear sky
133,Tarjan,HU,47.6104,18.5107,54.21,85,100,9.44,overcast clouds
134,Agadez,NE,19.75,10.25,79.05,8,1,2.89,clear sky
135,Puerto Ayora,EC,-0.7393,-90.3518,77.54,89,70,3.65,broken clouds
136,Guerrero Negro,MX,27.9769,-114.0611,67.78,58,75,7.58,broken clouds
137,Barcelos,PT,41.5388,-8.6151,51.94,94,92,4.05,overcast clouds
138,Kiama,AU,-34.6833,150.8667,72.37,89,59,5.99,broken clouds
139,Hermanus,ZA,-34.4187,19.2345,58.8,79,21,22.08,few clouds
140,Maun,BW,-19.9833,23.4167,66.16,100,0,6.91,clear sky
141,Lazaro Cardenas,MX,17.9583,-102.2,74.59,81,67,3.44,broken clouds
142,Butaritari,KI,3.0707,172.7902,80.58,82,88,13.51,light rain
143,Karakol,KG,42.4907,78.3936,55.13,41,87,2.53,overcast clouds
144,San Lorenzo,PY,-25.3333,-57.5333,70.74,94,20,0.0,few clouds
145,Suntar,RU,62.1444,117.6319,30.92,78,77,7.43,broken clouds
146,Moengo,SR,5.6167,-54.4,73.15,99,100,1.79,overcast clouds
147,Silver City,US,32.7701,-108.2803,56.3,13,0,3.44,clear sky
148,Chaihe,CN,44.7667,129.7,63.09,26,4,13.71,clear sky
149,Alice Springs,AU,-23.7,133.8833,81.95,18,0,2.3,clear sky
150,Taltal,CL,-25.4,-70.4833,63.54,73,3,4.52,clear sky
151,Victoria,HK,22.2855,114.1577,79.03,52,0,8.99,clear sky
152,Ilulissat,GL,69.2167,-51.1,10.36,96,100,8.16,light snow
153,Vallenar,CL,-28.5708,-70.7581,63.97,55,0,1.41,clear sky
154,Khandyga,RU,62.6667,135.6,27.09,84,100,3.51,overcast clouds
155,Sungaipenuh,ID,-2.0833,101.3833,79.16,51,100,4.56,overcast clouds
156,Ukiah,US,39.1502,-123.2078,55.36,59,0,5.39,clear sky
157,Quatre Cocos,MU,-20.2078,57.7625,79.09,80,54,14.97,light rain
158,Cairns,AU,-16.9167,145.7667,83.1,74,75,8.05,broken clouds
159,Greenfield,US,42.9614,-88.0126,32.95,80,99,5.01,overcast clouds
160,Keti Bandar,PK,24.1447,67.4497,84.2,60,59,16.89,broken clouds
161,Emerald,AU,-23.5333,148.1667,87.94,48,75,17.27,broken clouds
162,Torbay,CA,47.6666,-52.7314,30.58,89,100,5.75,overcast clouds
163,Kahului,US,20.8947,-156.47,78.82,64,100,19.57,overcast clouds
164,Cayenne,GF,4.9333,-52.3333,80.1,1,75,5.01,broken clouds
165,Norman Wells,CA,65.282,-126.8329,41.04,36,75,0.0,broken clouds
166,Sioux Lookout,CA,50.1001,-91.917,32.07,37,0,9.22,clear sky
167,Koster,ZA,-25.863,26.8976,51.01,96,100,15.41,moderate rain
168,Venado Tuerto,AR,-33.7456,-61.9688,65.77,70,29,7.47,scattered clouds
169,Bairiki,KI,1.3292,172.9752,86.0,70,75,14.97,broken clouds
170,Kamina,CD,-8.7386,24.9906,62.47,96,22,2.19,few clouds
171,Yerbogachen,RU,61.2767,108.0108,27.88,90,100,3.91,light snow
172,Caravelas,BR,-17.7125,-39.2481,75.79,86,5,3.6,clear sky
173,Kungurtug,RU,50.5994,97.5228,36.59,62,89,11.68,overcast clouds
174,Coihaique,CL,-45.5752,-72.0662,42.75,93,0,0.0,clear sky
175,Tuatapere,NZ,-46.1333,167.6833,59.54,67,23,9.15,few clouds
176,Hasaki,JP,35.7333,140.8333,73.29,63,7,23.94,clear sky
177,Conceicao Da Barra,BR,-18.5933,-39.7322,74.07,81,29,2.21,scattered clouds
178,Abha,SA,18.2164,42.5053,53.42,47,0,0.0,clear sky
179,Bayji,IQ,34.9311,43.487,64.18,58,74,15.14,broken clouds
180,Troy,US,42.6056,-83.1499,41.58,87,100,9.22,overcast clouds
181,Sorong,ID,-0.8833,131.25,82.72,74,100,10.74,overcast clouds
182,Shelburne,CA,44.0787,-80.2041,36.75,95,100,5.82,overcast clouds
183,Jinchang,CN,38.4953,102.1739,72.54,8,0,3.04,clear sky
184,Camacha,PT,33.0833,-16.3333,53.02,82,20,3.44,few clouds
185,Tazovskiy,RU,67.4667,78.7,-2.56,96,88,9.22,overcast clouds
186,Agirish,RU,61.9247,63.0231,29.08,92,100,5.57,overcast clouds
187,Namatanai,PG,-3.6667,152.4333,83.7,69,100,7.63,overcast clouds
188,Isla Vista,US,34.4133,-119.861,85.3,50,0,5.75,clear sky
189,Luderitz,NA,-26.6481,15.1594,58.15,81,0,4.72,clear sky
190,Fairlie,GB,55.756,-4.8556,37.4,78,85,12.48,overcast clouds
191,Selenginsk,RU,52.0064,106.8647,37.38,96,100,7.34,snow
192,Dikson,RU,73.5069,80.5464,9.16,89,99,8.21,overcast clouds
193,Najran,SA,17.4924,44.1277,63.25,19,0,3.0,clear sky
194,Kodiak,US,57.79,-152.4072,31.51,40,0,20.71,clear sky
195,Manzhouli,CN,49.6,117.4333,50.59,22,100,14.0,overcast clouds
196,San Luis,AR,-33.295,-66.3356,65.79,55,9,10.51,clear sky
197,Dingle,PH,10.9995,122.6711,82.31,71,100,5.88,light rain
198,Naze,JP,28.3667,129.4833,70.72,63,0,9.66,clear sky
199,Poum,NC,-20.2333,164.0167,81.52,77,100,11.21,overcast clouds
200,Chapais,CA,49.7834,-74.8492,33.58,98,100,8.1,light snow
201,Long Xuyen,VN,10.3833,105.4167,85.95,43,75,3.71,broken clouds
202,Autun,FR,46.95,4.3,36.28,99,100,3.56,overcast clouds
203,Ayan,RU,56.45,138.1667,25.63,84,66,4.0,broken clouds
204,Qasigiannguit,GL,68.8193,-51.1922,9.23,96,100,5.46,light snow
205,San Francisco,US,37.7749,-122.4194,67.32,69,20,32.21,few clouds
206,Hervey Bay,AU,-25.2986,152.8535,75.02,89,92,7.0,overcast clouds
207,Ribeira Brava,PT,32.65,-17.0667,59.72,73,42,1.86,scattered clouds
208,Tabou,CI,4.423,-7.3528,79.84,85,100,5.19,overcast clouds
209,Darnah,LY,32.767,22.6367,58.32,50,0,5.28,clear sky
210,Bengkulu,ID,-3.8004,102.2655,83.62,65,73,4.76,broken clouds
211,Atlantic City,US,39.3643,-74.4229,52.02,73,100,9.22,light rain
212,Mudgee,AU,-32.5943,149.5871,73.78,53,100,8.05,overcast clouds
213,Ola,RU,59.5833,151.2833,32.14,82,80,5.86,broken clouds
214,Turochak,RU,52.2576,87.1224,39.74,65,59,10.6,broken clouds
215,Yumen,CN,40.2833,97.2,69.67,9,99,8.28,overcast clouds
216,Maceio,BR,-9.6658,-35.7353,74.64,88,20,2.3,few clouds
217,Kampene,CD,-3.6,26.6667,64.06,96,81,1.23,broken clouds
218,Thinadhoo,MV,0.5333,72.9333,83.55,65,42,7.85,scattered clouds
219,Cherskiy,RU,68.75,161.3,-4.52,85,36,7.2,scattered clouds
220,Krasnomayskiy,RU,57.6194,34.4099,32.11,93,74,5.97,broken clouds
221,Alta Floresta,BR,-9.8756,-56.0861,71.08,95,35,2.17,scattered clouds
222,Nador,MA,35.174,-2.9287,61.05,63,0,16.11,clear sky
223,Luklukan,PH,14.3254,122.7124,81.66,80,100,9.1,overcast clouds
224,Hobart,AU,-42.8794,147.3294,77.02,47,75,12.66,broken clouds
225,Utena,LT,55.5,25.6,32.95,94,69,8.79,broken clouds
226,Fairbanks,US,64.8378,-147.7164,14.59,51,75,14.97,broken clouds
227,Hay River,CA,60.8156,-115.7999,33.78,93,75,10.36,light rain
228,Touros,BR,-5.1989,-35.4608,79.12,84,95,11.07,overcast clouds
229,Santa Rosa,PH,14.3122,121.1114,90.09,62,49,11.52,scattered clouds
230,Marzuq,YE,14.4,46.4667,71.24,20,0,3.83,clear sky
231,Pemba,MZ,-12.974,40.5178,75.58,86,35,10.76,scattered clouds
232,Iberia,US,29.9502,-91.7507,60.8,33,0,8.05,clear sky
233,Petershagen,DE,52.3833,8.9667,39.97,85,43,16.11,scattered clouds
234,Santa Marinella,IT,42.0345,11.8536,57.49,93,9,12.73,clear sky
235,Orthez,FR,43.4884,-0.7724,49.08,89,66,4.56,broken clouds
236,Kjopsvik,NO,68.097,16.3742,35.17,78,84,8.63,broken clouds
237,Berlevag,NO,70.8578,29.0864,33.6,98,100,32.88,light snow
238,Hemsedal,NO,60.8629,8.5534,16.52,86,100,9.71,overcast clouds
239,Sinjar,IQ,36.3209,41.8754,55.99,74,0,4.23,clear sky
240,Taldan,RU,53.6667,124.8,38.77,54,90,7.09,light rain
241,Tavda,RU,58.0425,65.2726,36.37,83,96,4.72,overcast clouds
242,Dolores,AR,-36.3132,-57.6792,59.0,96,1,6.31,clear sky
243,Porechye-Rybnoye,RU,57.098,39.3835,40.53,96,100,7.81,overcast clouds
244,Temba,ZA,-25.3803,28.2631,55.42,94,100,13.06,moderate rain
245,Mercedes,AR,-34.6515,-59.4307,62.78,77,28,6.8,scattered clouds
246,Lorengau,PG,-2.0226,147.2712,76.73,89,100,4.56,overcast clouds
247,Thompson,CA,55.7435,-97.8558,37.56,35,75,3.44,broken clouds
248,Beloha,MG,-25.1667,45.05,74.19,83,46,13.22,scattered clouds
249,Tocopilla,CL,-22.092,-70.1979,65.8,70,42,2.71,scattered clouds
250,Klaebu,NO,63.2976,10.4826,33.94,87,100,7.87,snow
251,Modasa,IN,23.4667,73.3,94.14,19,1,11.43,clear sky
252,Ciumeghiu,RO,46.7333,21.5833,52.52,91,100,6.11,overcast clouds
253,Palmares Do Sul,BR,-30.2578,-50.5097,66.45,91,98,9.86,overcast clouds
254,Brae,GB,60.3964,-1.353,38.5,63,97,27.22,overcast clouds
255,Bandarbeyla,SO,9.4942,50.8122,80.46,78,82,4.54,broken clouds
256,Northampton,US,40.8754,-75.2499,48.76,78,100,2.26,overcast clouds
257,Batagay,RU,67.6333,134.6333,18.72,81,100,5.06,overcast clouds
258,Airai,TL,-8.9266,125.4092,77.14,39,49,3.91,scattered clouds
259,Gigmoto,PH,13.7796,124.39,84.02,73,100,8.7,overcast clouds
260,Deputatskiy,RU,69.3,139.9,-0.18,89,100,5.37,overcast clouds
261,Coquimbo,CL,-29.9533,-71.3436,56.93,94,100,3.44,overcast clouds
262,Yar-Sale,RU,66.8333,70.8333,-2.61,94,100,7.7,overcast clouds
263,Pringsewu,ID,-5.3582,104.9744,88.83,51,51,6.11,broken clouds
264,San Julian,MX,21.0167,-102.1667,59.14,54,100,9.06,overcast clouds
265,Tilichiki,RU,60.4667,166.1,28.0,98,100,6.4,snow
266,Prichard,US,30.7388,-88.0789,53.55,54,100,3.44,overcast clouds
267,Mayumba,GA,-3.432,10.6554,77.68,90,100,5.5,overcast clouds
268,Bowen,AU,-20.0167,148.2333,84.31,66,70,17.63,broken clouds
269,Charters Towers,AU,-20.1,146.2667,85.78,50,83,14.03,broken clouds
270,Morondava,MG,-20.2833,44.2833,77.61,77,16,5.7,few clouds
271,Natchitoches,US,31.7668,-93.1335,49.05,66,0,0.0,clear sky
272,Mariestad,SE,58.7097,13.8237,27.5,86,72,13.98,broken clouds
273,Tomigusuku,JP,26.185,127.675,75.33,63,20,12.66,few clouds
274,Poya,NC,-21.35,165.15,82.29,75,78,9.66,broken clouds
275,Ventersburg,ZA,-28.0856,27.1381,53.73,82,100,18.21,overcast clouds
276,Daru,PG,-9.0763,143.2092,85.41,64,38,8.48,scattered clouds
277,Nanortalik,GL,60.1432,-45.2371,26.26,87,41,8.7,scattered clouds
278,Tuktoyaktuk,CA,69.4541,-133.0374,6.8,85,75,19.57,broken clouds
279,Mazamari,PE,-11.3258,-74.5308,68.92,98,96,2.01,overcast clouds
280,Ulladulla,AU,-35.35,150.4667,71.76,86,73,10.56,broken clouds
281,Wasilla,US,61.5814,-149.4394,35.58,54,100,5.99,overcast clouds
282,Sao Filipe,CV,14.8961,-24.4956,74.89,66,16,7.38,few clouds
283,Kartuzy,PL,54.3342,18.1974,34.84,90,20,10.36,few clouds
284,Upington,ZA,-28.4478,21.2561,60.53,55,18,12.41,light rain
285,Waingapu,ID,-9.6567,120.2641,85.68,66,82,5.66,broken clouds
286,Longonjo,AO,-12.9067,15.2533,61.61,95,61,3.71,broken clouds
287,Chicama,PE,-7.8447,-79.1469,64.94,78,100,4.83,overcast clouds
288,Menongue,AO,-14.6585,17.691,60.24,95,10,4.12,clear sky
289,Porto Torres,IT,40.835,8.3972,57.38,92,21,10.13,few clouds
290,Kampot,KH,10.6167,104.1833,87.85,49,73,1.52,broken clouds
291,Vardo,NO,70.3705,31.1107,33.87,97,100,33.17,light snow
292,Calama,CL,-22.4667,-68.9333,50.49,23,0,5.75,clear sky
293,Tessalit,ML,20.1986,1.0114,78.46,14,5,12.5,clear sky
294,Denpasar,ID,-8.65,115.2167,87.46,79,20,6.91,few clouds
295,Fukue,JP,32.6881,128.8419,68.36,60,0,11.5,clear sky
296,Vao,NC,-22.6667,167.4833,77.5,86,18,22.26,few clouds
297,Boyolangu,ID,-8.1181,111.8935,83.84,70,87,6.87,overcast clouds
298,Livingstone,ZM,-17.8419,25.8543,62.96,92,78,6.53,broken clouds
299,Kautokeino,NO,69.0125,23.0412,24.76,96,100,13.58,snow
300,Nkawkaw,GH,6.5512,-0.7662,74.12,98,99,3.53,overcast clouds
301,Alihe,CN,50.5667,123.7167,47.84,39,56,7.61,broken clouds
302,Ambon,ID,-3.6954,128.1814,87.94,74,40,6.91,heavy intensity rain
303,Cidreira,BR,-30.1811,-50.2056,67.33,89,100,11.97,overcast clouds
304,Chuguyevka,RU,44.1653,133.8633,54.14,73,92,6.62,overcast clouds
305,Okmulgee,US,35.6234,-95.9605,49.37,45,0,6.91,clear sky
306,Bam,IR,29.106,58.357,82.29,8,76,6.44,broken clouds
307,Tazmalt,DZ,36.3868,4.3989,54.81,59,76,3.51,broken clouds
308,Novyy Urgal,RU,51.0736,132.5642,30.88,89,97,1.68,overcast clouds
309,Ternate,ID,0.8,127.4,83.48,74,96,11.41,overcast clouds
310,Avera,US,33.194,-82.5271,51.31,59,83,10.54,broken clouds
311,Cabo San Lucas,MX,22.8909,-109.9124,75.51,45,15,1.99,few clouds
312,Clyde River,CA,70.4692,-68.5914,-9.17,84,0,6.91,clear sky
313,Skive,DK,56.5667,9.0333,39.06,76,4,7.0,clear sky
314,Dawson Creek,CA,55.7666,-120.2362,33.44,93,100,13.8,overcast clouds
315,Kamaishi,JP,39.2667,141.8833,58.44,47,0,14.18,clear sky
316,Anadyr,RU,64.75,177.4833,9.1,78,75,6.71,light snow
317,Yeniseysk,RU,58.4497,92.1703,36.25,91,100,4.92,overcast clouds
318,Menomonie,US,44.8755,-91.9193,37.44,41,12,6.91,few clouds
319,Tanout,NE,14.9709,8.8879,80.04,7,10,11.36,clear sky
320,Karratha,AU,-20.7377,116.8463,95.02,30,19,10.07,few clouds
321,Vrangel,RU,42.7297,133.0839,47.7,76,78,8.59,broken clouds
322,Bridlington,GB,54.0831,-0.1919,35.89,81,5,5.01,clear sky
323,Tambilil,PH,5.9622,124.6697,87.1,67,77,13.91,broken clouds
324,San Jeronimo,PE,-11.9472,-75.2829,49.33,83,87,0.18,overcast clouds
325,Mount Gambier,AU,-37.8333,140.7667,73.31,49,75,20.71,broken clouds
326,Diamantina,BR,-18.2494,-43.6003,62.28,91,44,2.86,scattered clouds
327,Ponta Do Sol,PT,32.6667,-17.1,59.72,72,48,2.19,scattered clouds
328,Ostrovnoy,RU,68.0531,39.5131,33.46,97,100,19.71,overcast clouds
329,Te Anau,NZ,-45.4167,167.7167,62.26,48,8,1.23,clear sky
330,Marovoay,MG,-16.1,46.6333,75.88,88,61,2.73,broken clouds
331,Chabahar,IR,25.2919,60.643,84.34,44,24,7.23,few clouds
332,Baruun-Urt,MN,46.6806,113.2792,63.39,18,99,26.31,overcast clouds
333,Komsomolskiy,UZ,40.4272,71.7189,70.52,40,100,2.3,overcast clouds
334,Puerto Del Rosario,ES,28.5004,-13.8627,62.35,77,75,14.97,broken clouds
335,Garowe,SO,8.4054,48.4845,74.23,83,99,7.31,overcast clouds
336,East London,ZA,-33.0153,27.9116,58.14,100,75,4.61,light rain
337,Balykshi,KZ,47.0667,51.8667,48.2,93,75,4.47,mist
338,Kieta,PG,-6.2167,155.6333,84.36,69,100,6.29,overcast clouds
339,Cumberland,US,35.0502,-78.8664,59.22,38,0,13.8,clear sky
340,Murchison,NZ,-41.8,172.3333,65.97,52,2,4.03,clear sky
341,Beeville,US,28.4008,-97.7483,64.98,41,0,5.75,clear sky
342,Santa Isabel,BR,-23.3156,-46.2214,70.9,99,100,1.9,heavy intensity rain
343,Arawa,PG,-6.2132,155.5367,84.96,68,100,5.73,overcast clouds
344,Progreso,MX,21.2833,-89.6667,74.1,53,32,16.64,scattered clouds
345,Svarstad,NO,59.399,9.9698,37.36,46,97,6.73,overcast clouds
346,Puerto Baquerizo Moreno,EC,-0.9,-89.6,78.24,85,76,4.79,broken clouds
347,Atambua,ID,-9.1061,124.8925,84.42,56,45,1.77,scattered clouds
